MinAge,MaxAge,Classification,Recommendations
18,99,'Low',"'Be safe during exercise or physical activity. Physical activity can lower your blood glucose during the activity and for hours afterward. You may need to check your blood glucose before, during, and after physical activity and adjust your medicine or carbohydrate intake to prevent low blood glucose. For example, you might eat a snack before physical activity to prevent low blood glucose.'"
18,99,'Low','Work with your doctor or health care team to prevent low blood glucose. Ask your team if any of your diabetes medicines can cause low blood glucose and how you can prevent and treat symptoms. Work with your doctor or health care team to adjust your diabetes management plan as needed.'
18,99,'Low','Check blood glucose before and after meals.'
18,99,'Low',"'Check blood glucose before and after exercise (or during, if it’s a long or intense session).'"
18,99,'Low','Check blood glucose before bed.'
18,99,'Low',"'After intense exercise, also check in the middle of the night.'"
18,99,'Low',"'Check blood glucose more if things around you change such as, a new insulin routine, a different work schedule, an increase in physical activity, or travel across time zones.'"
18,99,'Normal','Follow a minimally processed diet.'
18,99,'Normal','Eat plenty of high-quality protein.'
18,99,'Normal','Consume healthy fats.'
18,99,'Normal','Balance your meals'
18,99,'Normal','Drink plenty of water'
18,99,'Normal','Exercise regularly'
18,99,'Normal','Keep track of your blood sugar levels to see what makes them go up or down.'
18,99,'Normal',"'Eat at regular times, and don’t skip meals.'"
18,99,'Normal',"'Choose foods lower in calories, saturated fat, trans fat, sugar, and salt.'"
18,99,'Normal',"'Track your food, drink, and physical activity.'"
18,99,'Normal','Drink water instead of juice or soda.'
18,99,'Normal','Limit alcoholic drinks.'
18,99,'Normal',"'For a sweet treat, choose fruit.'"
18,99,'Normal',"'Control your food portions (for example, use the plate method: fill half your plate with non-starchy vegetables, a quarter with lean protein, and a quarter with a grain or starchy food).'"
18,99,'High','Change your eating habits; change the amount and types of foods you eat'
18,99,'High','Consult a doctor if you have repeated abnormal blood sugar readings.'
18,99,'High',"'Drink more water. Water helps remove excess sugar from your blood through urine, and it helps you avoid dehydration.'"
18,99,'High',"'Working out can help lower your blood sugar. But under certain conditions, it can make blood sugar go even higher. Ask your doctor what kind of exercise is right for you.'"
18,99,'High','Change your eating habits. You may need to meet with a dietitian to change the amount and types of foods you eat.'
18,99,'High',"'Switch medications: Your doctor may change the amount, timing, or type of diabetes medications you take. Don’t make changes without talking to them first'"
